asymmetrical, symmetrical
fruitfulness, fruitlessness
alcoholic, nonalcoholic
grammatically, ungrammatically
instrumental, vocal
concern, unconcern
legato, staccato
avoid, confront
illegibly, legibly
classified, unclassified
contaminate, decontaminate
appealingly, unappealingly
hate, love
propitiously, unpropitiously
presidential, unpresidential
conveniently, inconveniently
amply, meagerly
delay, rush
re-entrant, salient
ample, meager
infernal, supernal
exactly, inexactly
agitated, unagitated
cacodemon, eudemon
unusualness, usualness
treated, untreated
inheritable, noninheritable
improved, unimproved
heavily, lightly
sanitary, unsanitary
eyed, eyeless
conformity, nonconformity
clarity, obscurity
clothed, unclothed
regulated, unregulated
ceremoniousness, unceremoniousness
short, tall
commodious, incommodious
intelligently, unintelligently
profitable, unprofitable
immediate, mediate
due, undue
painful, painless
free, obstruct
christian, unchristian
grateful, ungrateful
equatorial, polar
crystallized, uncrystallized
official, unofficial
king, queen
leaded, unleaded
sociability, unsociability
dimmed, undimmed
collateral, lineal
advantage, disadvantage
foreign, native
knot, unknot
integration, segregation
shrinkable, unshrinkable
respectable, unrespectable
distrustfully, trustfully
fit, unfit
false, true
evilness, goodness
stratified, unstratified
intractability, tractability
bisexual, homosexual
repentant, unrepentant
expected, unexpected
calcify, decalcify
masochistic, sadistic
extraordinary, ordinary
feed, starve
consequentially, inconsequentially
harmonic, nonharmonic
chaste, unchaste
abstemious, gluttonous
decision, indecision
dystopia, utopia
hesitantly, unhesitatingly
denationalise, nationalise
lie, sit
powerful, powerless
amateur, professional
bicameral, unicameral
conscientious, unconscientious
draftee, volunteer
generalist, specialist
bisexual, heterosexual
allow, disallow
endotoxin, exotoxin
instability, stability
absolve, blame
odorless, odorous
insalubriousness, salubriousness
trustiness, untrustiness
fat, thin
overshoot, undershoot
Arianism, Athanasianism
dull, sharpen
ready, unready
follow, precede
approachability, unapproachability
analogue, digital
courteously, discourteously
augmentation, diminution
diluted, undiluted
artfulness, artlessness
difficult, easy
extraversion, introversion
crystalline, noncrystalline
high-sudsing, low-sudsing
cerebral, emotional
afraid, unafraid
half, whole
congruity, incongruity
freshness, staleness
insatiate, satiate
lentic, lotic
steadiness, unsteadiness
angular, rounded
insincerely, sincerely
guilty, innocent
accurately, inaccurately
acute, obtuse
egalitarian, elitist
accelerate, decelerate
annual, perennial
acatalectic, catalectic
paintable, unpaintable
concealing, revealing
enforceable, unenforceable
antemeridian, postmeridian
satisfactoriness, unsatisfactoriness
nonporous, porous
disinfect, infect
digitigrade, plantigrade
optimist, pessimist
grassless, grassy
disenchant, enchant
appealable, unappealable
effective, ineffective
gladden, sadden
power, powerlessness
hydrophilic, hydrophobic
general, local
continuance, discontinuance
seasoned, unseasoned
borrow, lend
agreeably, disagreeably
integrated, nonintegrated
autologous, heterologous
cubic, planar
ecdemic, epidemic
overexpose, underexpose
defendant, plaintiff
anticholinergic, cholinergic
congruous, incongruous
specified, unspecified
congruent, incongruent
acidify, alkalize
contemptible, estimable
beaked, beakless
nonprofessional, professional
scripted, unscripted
invasive, noninvasive
insured, uninsured
impaired, unimpaired
capable, incapable
cleared, uncleared
following, leading
apocrine, eccrine
adhesive, nonadhesive
definite, indefinite
abactinal, actinal
unvariedness, variedness
palatably, unpalatably
decorum, indecorum
topless, topped
holophytic, holozoic
regretful, unregretful
credit, debit
bar, unbar
actively, passively
profitably, unprofitably
auspicious, inauspicious
disembarkation, embarkation
maximise, minimise
purposeful, purposeless
crookedness, straightness
gross, net
longness, shortness
abruptness, gradualness
medical, surgical
bodied, unbodied
audibility, inaudibility
adequacy, inadequacy
improperness, properness
dullness, sharpness
purposefulness, purposelessness
isometric, isotonic
hard, soft
rusted, rustless
oviparous, viviparous
irremediable, remediable
linguistic, nonlinguistic
loading, unloading
international, national
truthfulness, untruthfulness
disorient, orient
ascending, descending
fauna, flora
anticyclone, cyclone
immutableness, mutableness
begin, end
strengthen, weaken
determined, undetermined
connected, unconnected
monotheism, polytheism
ambiguity, unambiguity
dissimilarity, similarity
opacity, transparency
natural, unnatural
ignore, notice
descriptive, prescriptive
azonal, zonal
eloquently, ineloquently
orthodox, unorthodox
northern, southern
unwrapped, wrapped
unwanted, wanted
biped, quadruped
permissive, preventive
manageable, unmanageable
conscious, unconscious
denitrify, nitrify
broad-minded, narrow-minded
popular, unpopular
portable, unportable
irreducible, reducible
crowded, uncrowded
consecrate, desecrate
loser, winner
contentment, discontentment
other, same
rested, tired
sociable, unsociable
indoor, outdoor
credible, incredible
necessary, unnecessary
impervious, pervious
endergonic, exergonic
insolubility, solubility
asset, liability
wired, wireless
civil, sidereal
immeasurable, measurable
alike, unalike
disorderliness, orderliness
parented, unparented
formality, informality
lucky, unlucky
commensurate, incommensurate
laced, unlaced
immeasurably, measurably
propitiousness, unpropitiousness
acceptive, rejective
spineless, spinous
obtrusiveness, unobtrusiveness
no, yes
confirmed, unconfirmed
abundant, scarce
hungry, thirsty
beauty, ugliness
bordered, unbordered
nonrepresentational, representational
multiform, uniform
despair, hope
silenced, unsilenced
contracted, expanded
overdress, underdress
trained, untrained
combed, uncombed
saddled, unsaddled
irrational, rational
reportable, unreportable
membered, memberless
centralize, decentralize
exterior, interior
importance, unimportance
pin, unpin
sent, unsent
arrive, leave
achlamydeous, chlamydeous
detransitivize, transitivize
tameness, wildness
toned, toneless
Anglican, Nonconformist
anterior, posterior
reliable, unreliable
opposed, unopposed
break, keep
immunocompetence, immunodeficiency
beneficent, maleficent
absent, present
perceptiveness, unperceptiveness
generally, specifically
foreignness, nativeness
bolt, unbolt
earthly, heavenly
enthusiastic, unenthusiastic
continuous, discontinuous
hypervolemia, hypovolemia
easy, uneasy
planned, unplanned
kindness, unkindness
addicted, unaddicted
anapsid, diapsid
intelligence, stupidity
nidicolous, nidifugous
depersonalise, personalise
primary, secondary
characteristically, uncharacteristically
imperceptibility, perceptibility
rightfulness, wrongfulness
believingly, unbelievingly
capableness, incapableness
animateness, inanimateness
aposelene, periselene
inner, outer
understood, ununderstood
anabolism, catabolism
authorized, unauthorized
earliness, lateness
hardened, soft
structured, unstructured
nonviolent, violent
changeable, unchangeable
able, unable
ambiguously, unambiguously
downwards, upwards
fallibility, infallibility
carefulness, carelessness
stifle, stimulate
insentience, sentience
capability, incapability
premeditated, unpremeditated
broad-mindedly, narrow-mindedly
grammatical, ungrammatical
destabilisation, stabilisation
instructive, uninstructive
dicotyledonous, monocotyledonous
nonpsychoactive, psychoactive
maternal, paternal
efficiency, inefficiency
happiness, unhappiness
necessarily, unnecessarily
hardware, software
sink, source
unwooded, wooded
horizontal, vertical
assent, dissent
allopatry, sympatry
binaurally, monaurally
noisily, quietly
current, noncurrent
sociably, unsociably
nonreversible, reversible
subsonic, supersonic
ionic, nonionic
fancy, plain
alternate, opposite
improbability, probability
musical, unmusical
disenfranchise, enfranchise
end, middle
real, unreal
insensitive, sensitive
convergency, divergency
anabolic, catabolic
exhaustible, inexhaustible
addictive, nonaddictive
Heaven, Hell
hypertension, hypotension
losings, winnings
brighten, darken
efficacious, inefficacious
patriotically, unpatriotically
disreputability, reputability
relaxed, tense
systematic, unsystematic
antonym, synonym
sure, unsure
remarkably, unremarkably
forgettable, unforgettable
anode, cathode
pastness, presentness
aptness, inaptness
self-consciously, unselfconsciously
idiographic, nomothetic
intoxicated, sober
expediently, inexpediently
perinatal, postnatal
compressibility, incompressibility
heavy, light
dissatisfy, satisfy
bottom, side
translatable, untranslatable
majority, minority
irresponsible, responsible
unwieldy, wieldy
exculpatory, inculpatory
forward, reverse
act, refrain
sexy, unsexy
accessible, inaccessible
patterned, plain
antagonistic, conciliatory
monotonic, nonmonotonic
cheerful, depressing
adopted, native
binucleate, mononuclear
nonresident, resident
adventurous, unadventurous
extension, flexion
imaginatively, unimaginatively
servile, unservile
completeness, incompleteness
concealed, unconcealed
comprehensive, noncomprehensive
rhythmical, unrhythmical
likelihood, unlikelihood
hardness, softness
full-term, premature
equivalence, nonequivalence
nonspeaking, speaking
elasticity, inelasticity
pleasantness, unpleasantness
illicit, licit
adoptable, unadoptable
reassuring, unreassuring
ethical, unethical
rightness, wrongness
nonprescription, prescription
bottomed, bottomless
deregulate, regulate
legged, legless
curved, straight
abranchiate, branchiate
inoperable, operable
particular, universal
amateurishly, expertly
activation, deactivation
impermissible, permissible
opposable, unopposable
away, home
idle, run
old, young
illicitly, licitly
congruousness, incongruousness
competitively, noncompetitively
disservice, service
congeniality, uncongeniality
improbable, probable
attached, unattached
expansive, unexpansive
equitably, inequitably
captor, liberator
activator, inhibitor
headed, unheaded
coastal, inland
nonspatial, spatial
filial, parental
dishonorableness, honorableness
expendable, unexpendable
move, stay
emotional, unemotional
illegal, legal
defend, prosecute
attractiveness, unattractiveness
asleep, awake
boneless, bony
poverty, wealth
prospective, retrospective
demanding, undemanding
child, parent
gather, spread
bounce, clear
punitive, rehabilitative
equality, inequality
strap, unstrap
dislodge, lodge
differentiated, undifferentiated
fresh, stale
multiply, singly
artificially, naturally
profitableness, unprofitableness
fragrant, malodorous
antinode, node
expressively, inexpressively
downstage, upstage
thermoplastic, thermosetting
androgynous, male
religious, secular
imponderable, ponderable
gradual, steep
disloyalty, loyalty
futurity, presentness
conspicuous, inconspicuous
acarpelous, carpellate
nay, yea
starchless, starchy
classification, declassification
wane, wax
immortal, mortal
admit, reject
asynchronous, synchronous
libertarian, necessitarian
ill, well
fastened, unfastened
factory-made, homemade
right, wrong
explicable, inexplicable
have, miss
anisotropy, isotropy
expressible, inexpressible
greater, lesser
nonrandom, random
dispensableness, indispensableness
horned, hornless
demerit, merit
equitable, inequitable
allow, deny
obligated, unobligated
mitigated, unmitigated
calced, discalced
impotency, potency
postdate, predate
paid, unpaid
figuratively, literally
criticize, praise
contract, expand
impreciseness, preciseness
biennial, perennial
bend, straighten
insignificantly, significantly
allopathic, homeopathic
shelled, unshelled
dedifferentiate, differentiate
functioning, malfunctioning
adjusted, maladjusted
insignificance, significance
haploid, polyploid
passing, running
permissive, unpermissive
intemperate, temperate
statesmanlike, unstatesmanlike
anaphrodisia, aphrodisia
conclusiveness, inconclusiveness
affirm, negate
enter, exit
dry, sweet
astigmatism, stigmatism
seal, unseal
bowed, plucked
crucial, noncrucial
recto, verso
progressive, regressive
tucked, untucked
immaturity, maturity
suitably, unsuitably
black-and-white, color
paved, unpaved
becomingness, unbecomingness
classicist, romanticist
roughness, smoothness
hyperglycemia, hypoglycemia
less, more
left, right
desegregate, segregate
functional, nonfunctional
dove, hawk
exaugural, inaugural
adult, juvenile
inhabited, uninhabited
disenchanted, enchanted
fast, slow
anastalsis, peristalsis
courage, cowardice
flatten, sharpen
frozen, unfrozen
lost, won
thoughtfulness, unthoughtfulness
controversially, uncontroversially
absolute, relative
centrifugal, centripetal
connect, disconnect
awned, awnless
unwoven, woven
downtown, uptown
publishable, unpublishable
pedunculate, sessile
hyperpigmentation, hypopigmentation
one-piece, three-piece
friendly, unfriendly
humble, proud
back, front
imprecision, precision
disintegrative, integrative
adjusted, unadjusted
hospitality, inhospitality
earned, unearned
persuasiveness, unpersuasiveness
solvability, unsolvability
nonpasserine, passerine
disrespectfully, respectfully
seated, standing
gracefully, ungracefully
depress, elate
action, inaction
falling, rising
admissible, inadmissible
boycott, patronise
geometrically, linearly
attendance, nonattendance
abnormality, normality
righteous, unrighteous
arbitrary, nonarbitrary
discriminate, indiscriminate
employed, unemployed
discouragingly, encouragingly
vernal, wintry
ever, never
quickly, slowly
inflow, outflow
darken, lighten
romantically, unromantically
civilized, noncivilized
consistently, inconsistently
hyperthyroidism, hypothyroidism
arboreal, nonarboreal
prejudiced, unprejudiced
natural, supernatural
cosmopolitan, provincial
commercial, noncommercial
colored, uncolored
likeliness, unlikeliness
audible, inaudible
disrespectful, respectful
sheathe, unsheathe
gregarious, ungregarious
empty, full
decreased, increased
carpeted, uncarpeted
faithfulness, unfaithfulness
cheerfulness, uncheerfulness
toed, toeless
disrespect, respect
falsity, truth
integrated, segregated
awed, unawed
front, rear
impure, pure
fortissimo, pianissimo
inflected, uninflected
married, unmarried
monochromatic, polychromatic
multiparous, uniparous
concavely, convexly
imperfectibility, perfectibility
considerately, inconsiderately
accessibility, inaccessibility
thinkable, unthinkable
nonoperational, operational
irreverent, reverent
echoic, nonechoic
overgarment, undergarment
irresolute, resolute
impossible, possible
communicate, excommunicate
fail, succeed
unvoiced, voiced
antiseptic, septic
disreputable, reputable
disqualify, qualify
monophonic, polyphonic
impolitely, politely
graciously, ungraciously
antecedent, subsequent
savory, unsavory
complimentary, uncomplimentary
soundness, unsoundness
forgivingly, unforgivingly
intolerably, tolerably
insalubrity, salubrity
conformism, nonconformism
coarsely, finely
polished, unpolished
officially, unofficially
ambiversive, introversive
ionized, nonionized
tuneful, tuneless
consciousness, unconsciousness
determinable, indeterminable
invalid, valid
awkwardness, gracefulness
active, passive
moved, unmoved
human, nonhuman
signed, unsigned
aft, fore
nonradioactive, radioactive
sessile, vagile
categorem, syncategorem
dislike, liking
combustible, noncombustible
dysphemistic, euphemistic
accept, reject
hypertonic, isotonic
thickness, thinness
deductible, nondeductible
breakable, unbreakable
winged, wingless
insincere, sincere
injudiciously, judiciously
appear, disappear
dematerialize, materialize
obvious, unobvious
multiple, single
easterly, westerly
neurotic, unneurotic
affected, unaffected
refresh, tire
merciful, merciless
privately, publicly
malleability, unmalleability
leptorrhine, platyrrhine
nonsuppurative, suppurative
civil, uncivil
generality, particularity
fortunately, unfortunately
de-escalate, escalate
impermanence, permanence
disobedience, obedience
least, most
decisively, indecisively
occupied, unoccupied
intermediate, terminal
corruptness, incorruptness
hitch, unhitch
alignment, nonalignment
conventionally, unconventionally
ironed, unironed
covertly, overtly
knowingly, unknowingly
atheism, theism
happily, unhappily
ravel, unravel
decency, indecency
lie, stand
demotion, promotion
leeward, windward
insane, sane
effervescent, noneffervescent
scrupulousness, unscrupulousness
acrocarp, pleurocarp
esoteric, exoteric
costive, laxative
continent, incontinent
oviparous, ovoviviparous
renewable, unrenewable
deep, shallow
enlightenment, unenlightenment
clarify, obfuscate
lidded, lidless
pro-choice, pro-life
mesic, xeric
differ, equal
disembark, embark
bright, dull
above, below
defense, prosecution
constitutional, unconstitutional
color, discolor
fewest, most
crannied, uncrannied
clean, dirty
communicativeness, uncommunicativeness
constitutionally, unconstitutionally
acaulescent, caulescent
aggressive, unaggressive
decline, improvement
mindfully, unmindfully
dangerous, safe
allopathy, homeopathy
forget, remember
tearful, tearless
thickly, thinly
extraordinariness, ordinariness
abstract, concrete
anteriority, posteriority
loosening, tightening
enlightened, unenlightened
interesting, uninteresting
heterozygous, homozygous
benign, malignant
maxi, midi
framed, unframed
continue, discontinue
alterability, unalterability
Romanticism, classicism
rewarding, unrewarding
communicative, uncommunicative
adorned, unadorned
trimmed, untrimmed
reliably, unreliably
broadly, narrowly
impermeability, permeability
proactive, retroactive
informative, uninformative
blur, focus
general, specific
manageably, unmanageably
running, standing
depressant, stimulative
free, unfree
disabling, enabling
suitability, unsuitability
believe, disbelieve
achromatinic, chromatinic
cut, uncut
member, nonmember
falsehood, truth
dynamic, undynamic
appreciate, depreciate
respectability, unrespectability
improperly, properly
implausibility, plausibility
eventful, uneventful
immaturely, maturely
corrigible, incorrigible
cross, uncross
aperiodic, periodic
admit, exclude
social, unsocial
cover, uncover
shapely, unshapely
negative, positive
burdened, unburdened
carinate, ratite
fail, manage
postprandial, preprandial
consciously, unconsciously
clear, opaque
hateful, lovable
suspected, unsuspected
certain, uncertain
heterocercal, homocercal
brotherly, sisterly
misused, used
restful, restless
out, safe
heaviness, lightness
mental, physical
anadromous, diadromous
atrophied, hypertrophied
deglycerolize, glycerolize
self-consciousness, unselfconsciousness
consistent, inconsistent
altered, unaltered
derequisition, requisition
dematerialise, materialise
impiety, piety
fairly, unfairly
diachronic, synchronic
atonal, tonal
cultivated, uncultivated
sheathed, unsheathed
hollow, solid
godliness, ungodliness
tie, untie
successful, unsuccessful
antitype, type
restrained, unrestrained
monotheistic, polytheistic
exactness, inexactness
non-proliferation, proliferation
generous, stingy
rusticity, urbanity
cross-fertilization, self-fertilization
insubordination, subordination
attraction, repulsion
dissimilitude, similitude
nonterritorial, territorial
assertive, unassertive
bear, bull
harmfully, harmlessly
contaminated, uncontaminated
absorbable, adsorbable
malnourished, nourished
basic, incidental
comprehensible, incomprehensible
holiness, unholiness
dead, living
contralateral, ipsilateral
endoergic, exoergic
styleless, stylish
invariable, variable
eared, earless
innumerate, numerate
unwillingly, willingly
mated, unmated
stimulating, unstimulating
analogous, homologous
extant, extinct
ribbed, ribless
abolish, establish
generic, varietal
spoken, written
ceremoniously, unceremoniously
disfluency, fluency
dependable, undependable
agreement, disagreement
limited, unlimited
footed, footless
Lady, Lord
coordinating, subordinating
found, lost
salable, unsalable
downward, upward
predictability, unpredictability
digestible, indigestible
unwholesome, wholesome
dependably, undependably
alive, dead
traceable, untraceable
blended, unblended
priestly, unpriestly
advantageously, disadvantageously
censored, uncensored
illegibility, legibility
optimistic, pessimistic
scalable, unscalable
regenerate, unregenerate
favorably, unfavorably
big, small
excusably, inexcusably
dying, nascent
disenfranchisement, enfranchisement
give, take
anti, pro
coldness, hotness
civilian, military
destructible, indestructible
immoral, moral
illiberality, liberality
dissuade, persuade
avirulent, virulent
centralized, decentralized
efflux, influx
controlled, uncontrolled
ambiversion, extraversion
staple, unstaple
demulsify, emulsify
approbation, disapprobation
location, studio
merited, unmerited
absorbent, nonabsorbent
criminalize, decriminalize
bend, unbend
patriotic, unpatriotic
apophatism, cataphatism
laureled, unlaureled
blacken, whiten
heavy-footed, light-footed
legalise, outlaw
comfort, discomfort
aged, young
sonic, supersonic
future, present
fair, foul
birth, death
angularity, roundness
otherworldliness, worldliness
cenobite, eremite
association, disassociation
sleeved, sleeveless
gathered, ungathered
hyperpnea, hypopnea
bidirectional, unidirectional
centralise, decentralize
ethically, unethically
owned, unowned
righteousness, unrighteousness
soled, soleless
agree, disagree
destroyed, preserved
altricial, precocial
obverse, reverse
intelligent, unintelligent
repeatable, unrepeatable
bottle-fed, breast-fed
consonant, vowel
extrusive, intrusive
accordant, discordant
fueled, unfueled
pleasant, unpleasant
de-iodinate, iodinate
abridged, unabridged
animated, unanimated
appositeness, inappositeness
existence, nonexistence
illicitness, licitness
borrower, lender
nasty, nice
civilian, serviceman
forceful, forceless
geocentric, heliocentric
disproportion, proportion
afloat, aground
punctual, unpunctual
amphibious, aquatic
traveled, untraveled
evitable, inevitable
conventionality, unconventionality
limbed, limbless
intensifying, moderating
impatiently, patiently
abience, adience
punished, unpunished
adscript, superscript
theatrical, untheatrical
catarrhine, leptorrhine
domestic, foreign
impermissibly, permissibly
formal, informal
aphelion, perihelion
leavened, unleavened
ostentatious, unostentatious
ignoble, noble
deodorize, odorize
acidic, amphoteric
algorithmic, heuristic
unguiculate, ungulate
tanned, untanned
dishonorable, honorable
fixedness, looseness
improvidently, providently
negativity, positivity
balanced, unbalanced
likeness, unlikeness
extinguish, ignite
evil, good
block, unblock
coarse, fine
nastiness, niceness
convenient, inconvenient
erase, record
dejected, elated
gain, loss
confine, free
changeableness, changelessness
past, present
scientific, unscientific
relatedness, unrelatedness
abstractness, concreteness
cheer, complain
deservedly, undeservedly
metamorphic, nonmetamorphic
end-stopped, run-on
function, malfunction
early, late
lowercase, uppercase
cool, heat
atypical, typical
curly, straight
lower-class, middle-class
melodiously, unmelodiously
modern, nonmodern
agreeable, disagreeable
reported, unreported
backed, backless
adoptive, biological
invertebrate, vertebrate
saturated, unsaturated
disorienting, orienting
nonsurgical, surgical
endogamous, exogamous
agitate, calm
articulately, inarticulately
monolingual, multilingual
de-energize, energize
lean, rich
shaded, unshaded
nonrepetitive, repetitive
host, parasite
achromatic, chromatic
high-resolution, low-resolution
artesian, subartesian
postwar, prewar
corruptibility, incorruptibility
sold, unsold
asexual, sexual
expediency, inexpediency
irreversibility, reversibility
crowned, uncrowned
dominant, recessive
timeliness, untimeliness
puncturable, punctureless
immobile, mobile
age, rejuvenate
impracticality, practicality
efficaciously, inefficaciously
explicitness, inexplicitness
flash-forward, flashback
matriarchal, patriarchal
autotrophic, heterotrophic
actable, unactable
head, rear
effortfulness, effortlessness
oldness, youngness
consequence, inconsequence
primarily, secondarily
father, mother
emersion, immersion
feelingly, unfeelingly
credibility, incredibility
charge, discharge
immoderation, moderation
attractive, unattractive
fingered, fingerless
moving, unmoving
fatty, nonfat
ahead, back
man, woman
likely, unlikely
impenetrability, penetrability
chivalrously, unchivalrously
irreligious, religious
hypersomnia, insomnia
carved, uncarved
invisibly, visibly
change, stay
resentful, unresentful
approval, disapproval
horizontal, inclined
accidentally, deliberately
bless, curse
educated, uneducated
here, there
deciduous, evergreen
injectable, uninjectable
passionate, passionless
grudgingly, ungrudgingly
bipolar, unipolar
productively, unproductively
lose, win
impressive, unimpressive
seeded, unseeded
sentimentally, unsentimentally
headed, headless
serviceable, unserviceable
overbid, underbid
depigmentation, pigmentation
motion, motionlessness
demobilise, mobilise
cyclic, noncyclic
reactive, unreactive
catadromous, diadromous
alarming, unalarming
heterogeneity, homogeneity
drained, undrained
nonspecific, specific
cognizance, incognizance
mindful, unmindful
ambitious, unambitious
unvaried, varied
complexity, simplicity
detribalisation, tribalisation
irreconcilable, reconcilable
left-handed, right-handed
add, subtract
dead, live
avenged, unavenged
retentive, unretentive
buried, unburied
defensive, offensive
curable, incurable
appendaged, unappendaged
potted, unpotted
beseeching, imperative
ancestor, descendant
decode, encode
comfortably, uncomfortably
de-iodinating, iodinating
confined, invasive
poor, rich
derived, underived
bind, unbind
interestingness, uninterestingness
alterable, unalterable
immature, mature
qualitative, quantitative
sleeping, waking
ride, walk
directness, indirectness
convincingly, unconvincingly
empirical, theoretical
air-to-air, air-to-surface
ambidextrous, left-handed
alphabetic, analphabetic
carnivorous, insectivorous
dissatisfaction, satisfaction
precede, succeed
reflected, unreflected
nontoxic, toxic
frequent, infrequent
competent, incompetent
button, unbutton
availability, unavailability
first, last
cool, warm
affixed, unaffixed
aggrade, degrade
flexibly, inflexibly
conception, misconception
denationalize, nationalize
lower, raise
dishonestly, honestly
anti-American, pro-American
glad, sad
conditional, unconditional
immovableness, movableness
trustworthy, untrustworthy
inward, outward
fail, pass
carnivorous, omnivorous
abient, adient
nonresidential, residential
concentrate, deconcentrate
absence, presence
rhymed, unrhymed
stoppable, unstoppable
clip, unclip
aligned, nonaligned
balconied, unbalconied
fertility, infertility
autoecious, heteroecious
furrowed, unfurrowed
improvident, provident
nonreturnable, returnable
recoverable, unrecoverable
combined, uncombined
claim, disclaim
appropriateness, inappropriateness
full, thin
paradigmatic, syntagmatic
organized, unorganized
outbid, underbid
shockable, unshockable
antagonistic, synergistic
backhand, forehand
crosswise, lengthwise
committed, uncommitted
disembarrassment, embarrassment
desynchronizing, synchronizing
complaining, uncomplaining
coherent, incoherent
activate, inactivate
barreled, unbarreled
geographic, magnetic
intemperance, temperance
interdepartmental, intradepartmental
adnate, connate
cooperative, uncooperative
divided, united
cenogenesis, palingenesis
cautiously, incautiously
hypertonicity, hypotonicity
thicken, thin
diploid, polyploid
construction, misconstruction
demote, promote
demobilization, mobilization
absorb, emit
powerfulness, powerlessness
dependability, undependability
intellectual, nonintellectual
juiceless, juicy
cousinly, uncousinly
inopportune, opportune
deaden, enliven
carefully, carelessly
cared-for, uncared-for
direct, retrograde
disrepute, repute
compressible, incompressible
fatness, leanness
imperfectly, perfectly
flexibility, inflexibility
guided, unguided
continuation, discontinuation
emotionality, unemotionality
farness, nearness
assertively, unassertively
excited, unexcited
analogous, heterologous
thick, thin
humanely, inhumanely
live, recorded
demilitarise, militarise
acatalectic, hypercatalectic
deoxidize, oxidize
atypically, typically
cheerfulness, cheerlessness
herbivorous, insectivorous
accentual, syllabic
dislike, like
convergence, divergence
accept, refuse
tastefulness, tastelessness
systematically, unsystematically
curliness, straightness
hopeful, hopeless
follower, leader
partly, wholly
seamanlike, unseamanlike
solved, unsolved
usefulness, uselessness
irrelevantly, relevantly
anabatic, katabatic
disproportionately, proportionately
postnatal, prenatal
fame, infamy
banded, unbanded
derivational, inflectional
concentration, distribution
faintheartedness, stoutheartedness
continuity, discontinuity
defense, offense
pain, pleasure
disintegrate, integrate
precedented, unprecedented
dysphoric, euphoric
discouragement, encouragement
impious, pious
correct, incorrect
avascular, vascular
egress, ingress
nonwoody, woody
trustworthiness, untrustworthiness
artful, artless
large, small
reliability, unreliability
courteous, discourteous
fraternal, identical
impatience, patience
decorous, indecorous
starless, starry
fledged, unfledged
adequate, inadequate
keyed, keyless
reconstructed, unreconstructed
acroscopic, basiscopic
packaged, unpackaged
noisy, quiet
constant, inconstant
fall, rise
approachable, unapproachable
nosed, noseless
healthy, unhealthy
impotence, potence
confident, diffident
irresolutely, resolutely
hook, unhook
fortunate, unfortunate
prepared, unprepared
prophetic, unprophetic
impressively, unimpressively
inviolable, violable
loudness, softness
reserved, unreserved
hypercalcemia, hypocalcemia
ability, inability
supported, unsupported
autogamous, endogamous
articulated, unarticulated
modified, unmodified
dangerousness, safeness
asymmetrically, symmetrically
colourful, colourless
optimistically, pessimistically
conquerable, unconquerable
overspend, underspend
joint, separate
multilateral, unilateral
quietly, unquietly
commonality, individuality
natural, sharp
eukaryote, prokaryote
justifiably, unjustifiably
extrinsic, intrinsic
edifying, unedifying
selected, unselected
downtime, uptime
appetizing, unappetizing
catarrhine, platyrrhine
multilane, single-lane
conservative, liberal
overcharge, undercharge
smokeless, smoky
acidic, alkaline
disloyally, loyally
answer, question
campylotropous, orthotropous
affirmative, negative
intransitively, transitively
equivocal, unequivocal
impropriety, propriety
reliableness, unreliableness
apocarpous, syncarpous
extramural, intramural
effortful, effortless
considerate, inconsiderate
close, distant
anticlinal, synclinal
interstate, intrastate
make, unmake
benign, malign
pretentiously, unpretentiously
skillfulness, unskillfulness
hypotonic, isotonic
disreputably, reputably
ahistorical, historical
high-tension, low-tension
occidentalise, orientalise
refined, unrefined
turned, unturned
thoughtful, thoughtless
appropriately, inappropriately
kind, unkind
abused, unabused
diclinous, monoclinous
antagonist, synergist
obligatorily, optionally
taciturn, voluble
penalty, reward
blessed, cursed
insubstantial, substantial
associative, nonassociative
activation, inactivation
sanitariness, unsanitariness
diurnal, nocturnal
antipyretic, pyretic
darkness, lightness
asynchronism, synchronism
induced, spontaneous
functional, organic
troubled, untroubled
quantitative, syllabic
insensible, sensible
counterrevolutionary, revolutionary
disorder, order
air-to-surface, surface-to-air
rigged, unrigged
nonunion, union
sound, unsound
timbered, untimbered
anestrus, estrus
congenial, uncongenial
accompanied, unaccompanied
spaced, unspaced
fatal, nonfatal
displease, please
efficient, inefficient
strong, weak
multiculturalism, nationalism
developed, undeveloped
intractable, tractable
frequently, infrequently
insensibility, sensibility
enlivened, unenlivened
sharpen, soften
employable, unemployable
shout, whisper
impossibly, possibly
analyze, synthesize
depressurise, pressurise
round, square
endogenous, exogenous
dramatic, lyric
anaphrodisiac, aphrodisiac
convertible, inconvertible
reasonably, unreasonably
injured, uninjured
deoxidise, oxidise
leafless, leafy
rough, smooth
excusable, inexcusable
exact, inexact
decisiveness, indecisiveness
consecrated, desecrated
necessitate, obviate
humaneness, inhumaneness
dispensable, indispensable
new, worn
mindfulness, unmindfulness
inspan, outspan
malicious, unmalicious
glazed, unglazed
nonuniformity, uniformity
profitability, unprofitability
engagement, non-engagement
decent, indecent
moving, nonmoving
holy, unholy
lost, saved
string, unstring
disunify, unify
unwittingly, wittingly
monoclinic, triclinic
multiple-choice, true-false
coherence, incoherence
heterodactyl, zygodactyl
atypicality, typicality
agnostic, gnostic
charitable, uncharitable
genuineness, spuriousness
inferior, superior
assembly, disassembly
nadir, zenith
propitious, unpropitious
diploid, haploid
compact, loose
invulnerable, vulnerable
appearance, disappearance
shortness, tallness
difference, sameness
