abaxial, dorsal
eighty-seven, lxxxvii
eighty-eight, 88
eighty-eight, lxxxviii
eighty-nine, 89
eighty-nine, ixc
ninety, 90
ninety, xc
ninety-one, 91
ninety-one, xci
ninety-two, 92
ninety-two, xcii
ninety-three, 93
ninety-three, xciii
ninety-four, 94
ninety-four, xciv
ninety-five, 95
ninety-five, xcv
ninety-six, 96
ninety-six, xcvi
ninety-seven, 97
ninety-seven, xcvii
ninety-eight, 98
ninety-eight, xcviii
ninety-nine, 99
ninety-nine, ic
hundred, 100
hundred, c
thousand, 1000
thousand, m
thousand, k
first, 1st
second, 2nd
second, 2d
third, 3rd
third, tertiary
fourth, 4th
fourth, quaternary
fifth, 5th
sixth, 6th
seventh, 7th
eighth, 8th
ninth, 9th
tenth, 10th
eleventh, 11th
twelfth, 12th
thirteenth, 13th
fourteenth, 14th
fifteenth, 15th
sixteenth, 16th
seventeenth, 17th
eighteenth, 18th
nineteenth, 19th
umpteenth, umteenth
umpteenth, umptieth
twentieth, 20th
twenty-first, 21st
twenty-second, 22nd
twenty-third, 23rd
twenty-fourth, 24th
twenty-fifth, 25th
twenty-sixth, 26th
twenty-seventh, 27th
twenty-eighth, 28th
twenty-ninth, 29th
thirtieth, 30th
thirty-first, 31st
thirty-second, 32nd
thirty-third, 33rd
thirty-fourth, 34th
thirty-fifth, 35th
thirty-sixth, 36th
thirty-seventh, 37th
thirty-eighth, 38th
thirty-ninth, 39th
fortieth, 40th
forty-first, 41st
forty-second, 42nd
forty-third, 43rd
forty-fourth, 44th
forty-fifth, 45th
forty-sixth, 46th
forty-seventh, 47th
forty-eighth, 48th
forty-ninth, 49th
fiftieth, 50th
fifty-fifth, 55th
sixtieth, 60th
sixty-fourth, 64th
sixty-fifth, 65th
seventieth, 70th
seventy-fifth, 75th
eightieth, 80th
eighty-fifth, 85th
ninetieth, 90th
ninety-fifth, 95th
hundredth, centesimal
hundredth, 100th
hundred-and-first, 101st
hundred-and-fifth, 105th
hundred-and-tenth, 110th
hundred-and-fifteenth, 115th
hundred-and-twentieth, 120th
hundred-and-twenty-fifth, 125th
hundred-and-thirtieth, 130th
hundred-and-thirty-fifth, 135th
hundred-and-fortieth, 140th
hundred-and-forty-fifth, 145th
hundred-and-fiftieth, 150th
hundred-and-fifty-fifth, 155th
hundred-and-sixtieth, 160th
hundred-and-sixty-fifth, 165th
hundred-and-seventieth, 170th
hundred-and-seventy-fifth, 175th
hundred-and-eightieth, 180th
hundred-and-ninetieth, 190th
two-hundredth, 200th
three-hundredth, 300th
four-hundredth, 400th
five-hundredth, 500th
thousandth, 1000th
nth, n-th
scripted, written
ad-lib, spontaneous
ad-lib, unwritten
azygous, azygos
one-man, one-person
one-man, one-woman
lone, lonesome
lone, only
lone, sole
lone, solitary
singular, unique
uninominal, one-member
double, doubled
double, twofold
double, two-fold
double, dual
double, duple
double, dual
double, twofold
double, two-fold
double, treble
double, threefold
double, three-fold
manifold, multiplex
ternary, treble
ternary, triple
ternary, triplex
treble, threefold
treble, three-fold
treble, triple
quadruple, fourfold
quadruple, four-fold
quadruple, quadruplicate
quadruple, quadruplex
quadruple, fourfold
quadruple, four-fold
quaternate, quaternary
quintuple, fivefold
quintuple, five-fold
sextuple, sixfold
sextuple, six-fold
septuple, sevenfold
septuple, seven-fold
octuple, eightfold
octuple, eight-fold
nonuple, ninefold
nonuple, nine-fold
tenfold, ten-fold
tenfold, denary
divided, dual-lane
medium-sized, medium-size
medium-sized, moderate-sized
medium-sized, moderate-size
accomplished, complete
adept, expert
adept, good
adept, practiced
adept, proficient
adept, skillful
adept, skilful
consummate, masterful
consummate, masterly
consummate, virtuoso
technical, expert
botchy, butcherly
botchy, unskillful
bungled, botched
bungling, clumsy
bungling, fumbling
bungling, incompetent
crude, rough
humble, menial
humble, lowly
numerical, mathematical
coarse, harsh
coarse-grained, large-grained
farinaceous, coarse-grained
farinaceous, grainy
farinaceous, granular
farinaceous, granulose
farinaceous, gritty
farinaceous, mealy
plushy, plush-like
loose, open
close, tight
close-grained, fine-grained
powdered, powdery
powdered, pulverized
powdered, pulverised
powdered, small-grained
powdered, fine-grained
slippery, slippy
slimed, slimy
slipping, slithering
lubricated, greased
unlubricated, ungreased
creaseless, uncreased
fine-textured, smooth-textured
seamless, unlined
seamless, unseamed
streamlined, aerodynamic
streamlined, flowing
streamlined, sleek
velvet, velvety
velvet, velvet-textured
rough, unsmooth
abrasive, scratchy
alligatored, cracked
broken, rugged
chapped, cracked
chapped, roughened
corded, twilled
costate, ribbed
cragged, craggy
cragged, hilly
cragged, mountainous
homespun, nubby
homespun, nubbly
homespun, slubbed
homespun, tweedy
imbricate, imbricated
lepidote, leprose
lepidote, scabrous
lepidote, scaly
lepidote, scurfy
lined, seamed
pocked, pockmarked
pocked, potholed
rock-ribbed, rockbound
rocky, bouldery
rocky, bouldered
rocky, stony
gravelly, pebbly
gravelly, shingly
shagged, shaggy
textured, rough-textured
textured, coarse-textured
verrucose, warty
verrucose, wartlike
rough, rocky
rough, bumpy
rough, jolty
rough, jolting
rough, jumpy
furrowed, rugged
rutted, rutty
unnotched, untoothed
ciliate, ciliated
crenate, crenated
crenate, scalloped
crenulate, crenulated
erose, jagged
erose, jaggy
erose, notched
erose, toothed
fringed, laciniate
lacerate, lacerated
serrate, serrated
serrate, saw-toothed
serrate, toothed
serrate, notched
unrifled, smoothbore
cultural, ethnic
cultural, ethnical
multiethnic, multi-ethnic
antisocial, asocial
lone, lonely
lone, solitary
recluse, reclusive
recluse, withdrawn
alone, lone
alone, lonely
alone, solitary
isolated, marooned
isolated, stranded
accompanied, attended
nongregarious, nonsocial
nongregarious, solitary
caespitose, cespitose
caespitose, tufted
sewed, sewn
sewed, stitched
multi-seeded, several-seeded
single-seeded, one-seeded
single-seeded, one-seed
clubbable, clubable
clubbish, clubby
convivial, good-time
extroverted, forthcoming
extroverted, outgoing
coagulated, solidified
congealed, jelled
congealed, jellied
fluid, runny
liquefiable, liquifiable
liquefied, liquified
aeriform, airlike
aerosolized, aerosolised
gasified, vaporized
gasified, vapourised
gasified, volatilized
gasified, volatilised
vaporific, vapourific
vaporific, vaporish
vaporific, vapourish
vaporific, vaporous
vaporific, vapourous
deep-set, sunken
deep-set, recessed
fistular, fistulate
fistular, fistulous
tubular, cannular
tubular, tubelike
tubular, tube-shaped
tubular, vasiform
dissolvable, dissoluble
meltable, disintegrable
insoluble, indissoluble
water-insoluble, non-water-soluble
solvable, resolvable
insolvable, unsoluble
insolvable, unsolvable
insolvable, unresolvable
solved, resolved
unsolved, unresolved
any, whatever
any, whatsoever
blase, worldly
intelligent, well-informed
polished, refined
polished, svelte
polished, urbane
naive, naif
childlike, wide-eyed
childlike, round-eyed
childlike, dewy-eyed
childlike, simple
fleeceable, green
fleeceable, gullible
innocent, ingenuous
unsophisticated, unworldly
dependable, good
dependable, safe
dependable, secure
bad, risky
bad, high-risk
bad, speculative
solid, strong
solid, substantial
decayed, rotten
decayed, rotted
bubbling, bubbly
bubbling, foaming
bubbling, foamy
bubbling, frothy
bubbling, effervescing
bubbling, spumy
aerated, charged
fizzing, fizzy
noncarbonated, uncarbonated
sparkling, effervescent
still, noneffervescent
specialized, specialised
unspecialized, unspecialised
generalized, generalised
spinous, spiny
boisterous, knockabout
dashing, gallant
ebullient, exuberant
ebullient, high-spirited
feisty, plucky
feisty, spunky
impertinent, irreverent
impertinent, pert
impertinent, saucy
lively, racy
snappy, whipping
vibrant, vivacious
zestful, yeasty
zestful, zesty
zestful, barmy
dispirited, listless
spontaneous, self-generated
impulsive, unprompted
natural, instinctive
elicited, evoked
expressed, uttered
expressed, verbalized
expressed, verbalised
oral, unwritten
viva-voce, word-of-mouth
backhand, left-slanting
graphic, graphical
voiced, sonant
voiced, soft
unvoiced, voiceless
unvoiced, surd
unvoiced, hard
codified, statute
nonsyllabic, unsyllabic
firm, steady
firm, unfluctuating
stabilized, stabilised
coseismic, coseismal
crank, cranky
crank, tender
crank, tippy
explosive, volatile
rickety, shaky
rickety, wobbly
rickety, wonky
seismic, seismal
staccato, disconnected
abrupt, disconnected
legato, smooth
authoritative, classical
authoritative, classic
authoritative, definitive
basic, canonic
basic, canonical
casebook, textbook
criterial, criterional
standardized, standardised
deficient, inferior
deficient, substandard
standard, received
unacceptable, unaccepted
starchlike, amylaceous
starchlike, amyloid
starchlike, amyloidal
starchlike, farinaceous
full, replete
well-fed, well-nourished
ill-fed, underfed
ill-fed, undernourished
starved, starving
dependable, rock-steady
dependable, steady-going
even, regular
level, unwavering
surefooted, sure-footed
surefooted, footsure
arrhythmic, jerking
arrhythmic, jerky
convulsive, spasmodic
convulsive, spastic
flickering, aflicker
palpitant, palpitating
shaky, shivering
shaky, trembling
quavering, tremulous
shifting, shifty
tottering, tottery
challenging, thought-provoking
piquant, salty
rousing, stirring
unstimulating, unexciting
bland, flat
dry, juiceless
ataractic, ataraxic
ataractic, sedative
ataractic, tranquilizing
ataractic, tranquillizing
ataractic, tranquilising
ataractic, tranquillising
narcotic, narcotizing
narcotic, narcotising
soporific, soporiferous
soporific, somniferous
soporific, somnific
soporific, hypnogogic
soporific, hypnagogic
adrenocorticotropic, adrenocorticotrophic
excitant, excitative
excitant, excitatory
irritating, irritative
stimulant, stimulating
astomatous, mouthless
aquiline, hooked
askew, awry
askew, cockeyed
askew, lopsided
askew, wonky
askew, skew-whiff
contorted, writhed
contorted, writhen
deflective, refractive
gnarled, gnarly
gnarled, knotted
gnarled, knotty
gnarled, knobbed
tortuous, twisting
tortuous, twisty
tortuous, winding
tortuous, voluminous
zigzag, zig-zag
trabeated, trabeate
uncurved, uncurving
curved, curving
arced, arched
arced, arching
arced, arciform
arced, arcuate
arced, bowed
curvilineal, curvilinear
falcate, falciform
falcate, sickle-shaped
curvy, curvey
hooklike, hooked
incurvate, incurved
recurved, recurvate
serpentine, snaky
serpentine, snakelike
sinuate, sinuous
sinuate, wiggly
coiling, helical
coiling, spiral
coiling, spiraling
coiling, volute
coiling, voluted
coiling, whorled
coiling, turbinate
convolute, convoluted
involute, rolled
uncoiled, straight
straight, square
aboveboard, straightforward
guileless, transparent
crooked, corrupt
sneaky, underhand
sneaky, underhanded
stressed, accented
emphatic, emphasized
emphatic, emphasised
unaccented, light
unaccented, weak
tonic, accented
atonic, unaccented
brawny, hefty
brawny, muscular
brawny, powerful
brawny, sinewy
hard, knockout
hard, severe
industrial-strength, weapons-grade
knock-down, powerful
reinforced, strengthened
well-knit, well-set
anemic, anaemic
adynamic, asthenic
adynamic, debilitated
adynamic, enervated
faint, feeble
feeble, lame
jerry-built, shoddy
namby-pamby, gutless
namby-pamby, spineless
namby-pamby, wishy-washy
pale, pallid
pale, wan
pale, sick
stubborn, obstinate
stubborn, unregenerate
bloody-minded, cantankerous
bolshy, stroppy
bullheaded, bullet-headed
bullheaded, pigheaded
dogged, dour
dogged, persistent
dogged, pertinacious
dogged, tenacious
dogged, unyielding
contrarious, cross-grained
hardheaded, mulish
strong-minded, strong-willed
meek, tame
sheeplike, sheepish
subject, dependent
disobedient, unruly
booming, flourishing
booming, palmy
booming, prospering
booming, prosperous
booming, roaring
booming, thriving
victorious, winning
defeated, disappointed
defeated, discomfited
defeated, foiled
defeated, frustrated
defeated, thwarted
empty-handed, unrewarded
scoreless, goalless
scoreless, hitless
unfulfilled, unrealized
unfulfilled, unrealised
adequate, decent
adequate, enough
insufficient, deficient
depleted, low
inadequate, poor
inadequate, short
lean, skimpy
light, scant
light, short
candied, sugar-coated
honeyed, honied
honeyed, syrupy
sugared, sweetened
sugared, sweet
sugared, sweet-flavored
sugarless, nonsweet
arch, condescending
arch, patronizing
arch, patronising
eminent, high
leading, preeminent
high-level, high-ranking
high-level, upper-level
majestic, olympian
humble, low
humble, lowly
humble, modest
humble, small
ace, A-one
ace, crack
ace, first-rate
ace, super
ace, tiptop
ace, topnotch
ace, top-notch
ace, tops
blue-ribbon, select
boss, brag
brilliant, superb
choice, prime
choice, prize
choice, quality
choice, select
excellent, first-class
excellent, fantabulous
excellent, splendid
greatest, sterling
greatest, superlative
pukka, pucka
top-flight, top-hole
top-flight, topping
transcendent, surpassing
bum, cheap
bum, cheesy
bum, chintzy
bum, crummy
bum, punk
bum, sleazy
bum, tinny
bush-league, bush
cheapjack, shoddy
cheapjack, tawdry
coarse, common
commercial, commercial-grade
deplorable, execrable
deplorable, miserable
deplorable, woeful
deplorable, wretched
mediocre, second-rate
ropey, ropy
scrawny, scrubby
scrawny, stunted
utility, utility-grade
overlying, superimposed
superscript, superior
subscript, inferior
braced, buttressed
pendent, pendant
pendent, dependent
subsidized, subsidised
baseless, groundless
baseless, idle
baseless, unfounded
baseless, unwarranted
baseless, wild
single-handed, unassisted
single-handed, unbacked
uncorroborated, unsubstantiated
assisted, aided
accessory, adjunct
accessory, ancillary
accessory, adjuvant
accessory, appurtenant
accessory, auxiliary
accessary, accessory
collateral, confirmative
collateral, confirming
collateral, confirmatory
collateral, corroborative
collateral, corroboratory
collateral, substantiating
collateral, substantiative
collateral, validating
collateral, validatory
collateral, verificatory
collateral, verifying
encouraging, supporting
confounding, contradictory
disconfirming, invalidating
conquerable, superable
insurmountable, unsurmountable
insuperable, unconquerable
amazed, astonied
amazed, astonished
amazed, astounded
amazed, stunned
dumbfounded, dumfounded
dumbfounded, flabbergasted
dumbfounded, stupefied
dumbfounded, thunderstruck
dumbfounded, dumbstruck
dumbfounded, dumbstricken
goggle-eyed, openmouthed
goggle-eyed, popeyed
amazing, astonishing
allergic, hypersensitive
allergic, hypersensitized
allergic, hypersensitised
allergic, sensitized
allergic, sensitised
allergic, supersensitive
allergic, supersensitized
allergic, supersensitised
capable, open
capable, subject
convincible, persuadable
convincible, persuasible
convincible, suasible
fictile, pliable
liable, nonimmune
liable, nonresistant
liable, unresistant
amenable, tractable
unsusceptible, insusceptible
immune, resistant
immunized, immunised
immunized, vaccinated
unpersuadable, unsuasible
impressionable, waxy
impressionable, impressible
plastic, pliant
extra, special
sec, unsweet
cloying, saccharine
cloying, syrupy
cloying, treacly
acerb, acerbic
acerb, astringent
acetose, acetous
acetose, vinegary
acetose, vinegarish
acidic, acid
acidic, acidulent
acidic, acidulous
lemony, lemonlike
lemony, sourish
lemony, tangy
lemony, tart
off, sour
off, turned
fresh, sweet
fresh, unfermented
symmetrical, symmetric
bilateral, isobilateral
cruciate, cruciform
even, regular
radial, stellate
radial, radiate
rhombohedral, trigonal
asymmetrical, asymmetric
unsymmetric, unsymmetrical
actinomorphic, actinomorphous
zygomorphic, zygomorphous
empathic, empathetic
unsympathizing, unsympathising
sympathetic, appealing
sympathetic, likeable
sympathetic, likable
unsympathetic, unappealing
unsympathetic, unlikeable
unsympathetic, unlikable
diachronic, historical
synchronous, synchronal
synchronous, synchronic
coetaneous, coeval
coetaneous, contemporaneous
coexistent, coexisting
coincident, coincidental
coincident, coinciding
coincident, concurrent
coincident, co-occurrent
coincident, cooccurring
coincident, simultaneous
contemporaneous, contemporary
synchronized, synchronised
anachronic, anachronous
anachronic, anachronistic
nonsynchronous, unsynchronized
nonsynchronous, unsynchronised
nonsynchronous, unsynchronous
serial, nonparallel
contrastive, incompatible
reticent, untalkative
chatty, gabby
chatty, garrulous
chatty, loquacious
chatty, talkative
chatty, talky
discerning, discreet
tactless, untactful
gangling, gangly
gangling, lanky
gangling, rangy
leggy, long-legged
leggy, long-shanked
leggy, tall-growing
long-stalked, tall-stalked
stately, statuesque
short, little
chunky, dumpy
chunky, low-set
chunky, squat
chunky, squatty
chunky, stumpy
compact, heavyset
compact, stocky
compact, thick
compact, thickset
pint-size, pint-sized
pint-size, runty
pint-size, sawed-off
pint-size, sawn-off
squab, squabby
tame, tamed
docile, gentle
domestic, domesticated
wild, untamed
feral, ferine
feral, savage
chaotic, disorderly
delirious, excited
delirious, frantic
delirious, mad
delirious, unrestrained
frenzied, manic
tangible, touchable
tactile, tactual
intangible, impalpable
aesthetic, esthetic
aesthetic, artistic
understated, unostentatious
understated, unpretentious
brassy, cheap
brassy, flash
brassy, flashy
brassy, garish
brassy, gaudy
brassy, gimcrack
brassy, loud
brassy, meretricious
brassy, tacky
brassy, tatty
brassy, tawdry
brassy, trashy
camp, campy
indelicate, off-color
indelicate, off-colour
ostentatious, pretentious
acid-tasting, sour-tasting
ambrosial, ambrosian
ambrosial, nectarous
bitterish, sharp-tasting
bittersweet, semisweet
delectable, delicious
delectable, luscious
delectable, pleasant-tasting
delectable, scrumptious
delectable, toothsome
delectable, yummy
flavorful, flavourful
flavorful, flavorous
flavorful, flavourous
flavorful, flavorsome
flavorful, flavoursome
flavorful, sapid
flavorful, saporous
full-bodied, racy
full-bodied, rich
full-bodied, robust
hot, spicy
grapey, grapy
nutty, nutlike
piquant, savory
piquant, savoury
piquant, spicy
piquant, zesty
pungent, acrid
winy, winey
bland, flat
bland, flavorless
bland, flavourless
bland, insipid
bland, savorless
bland, savourless
bland, vapid
unflavored, unflavoured
unflavored, nonflavored
unflavored, nonflavoured
unsalted, unseasoned
taxable, nonexempt
ratable, rateable
nontaxable, exempt
tax-exempt, tax-free
tax-exempt, untaxed
abstemious, light
moderate, restrained
big, heavy
taut, tight
drooping, droopy
drooping, sagging
loose, slack
cliff-hanging, suspenseful
cliff-hanging, suspensive
cliff-hanging, nail-biting
antsy, fidgety
antsy, fretful
antsy, itchy
edgy, high-strung
edgy, jittery
edgy, jumpy
edgy, nervy
edgy, overstrung
edgy, restive
edgy, uptight
pumped-up, pumped
pumped-up, wired
laid-back, mellow
extraterritorial, exterritorial
thermosetting, thermoset
capillary, hairlike
compressed, flat
diaphanous, filmy
diaphanous, gauzy
diaphanous, gauze-like
diaphanous, gossamer
diaphanous, see-through
diaphanous, sheer
diaphanous, transparent
diaphanous, vaporous
diaphanous, vapourous
diaphanous, cobwebby
filamentous, filiform
filamentous, filamentlike
filamentous, threadlike
filamentous, thready
ribbonlike, ribbony
clogged, clotted
coagulate, coagulated
coagulate, curdled
coagulate, grumous
coagulate, grumose
dense, heavy
dense, impenetrable
gelatinous, gelatinlike
gelatinous, jellylike
ropy, ropey
ropy, stringy
ropy, thready
syrupy, viscous
rare, rarefied
rare, rarified
cogitable, ponderable
conceivable, imaginable
presumable, supposable
presumable, surmisable
impossible, inconceivable
impossible, unimaginable
bemused, lost
bemused, preoccupied
brooding, broody
brooding, contemplative
brooding, meditative
brooding, musing
brooding, pensive
brooding, pondering
brooding, reflective
brooding, ruminative
inconsiderate, unconsidered
unreflective, unthinking
unreflective, unthoughtful
economical, frugal
economical, scotch
economical, sparing
economical, stinting
extravagant, prodigal
extravagant, profligate
extravagant, spendthrift
uneconomical, uneconomic
clean-cut, trig
clean-cut, trim
neat, orderly
shipshape, trim
shipshape, well-kept
uncluttered, unlittered
blowsy, blowzy
blowsy, slatternly
blowsy, sluttish
cluttered, littered
disheveled, dishevelled
disheveled, frowzled
disheveled, rumpled
disheveled, tousled
disorderly, higgledy-piggledy
disorderly, hugger-mugger
disorderly, jumbled
disorderly, topsy-turvy
frowsy, frowzy
frowsy, slovenly
messy, mussy
sprawling, straggling
sprawling, rambling
sprawling, straggly
kempt, tidy
plastered, slicked
well-groomed, well-dressed
bushy, shaggy
bushy, shaggy-haired
bushy, shaggy-coated
half-timber, half-timbered
aweary, weary
bleary, blear
bleary, bleary-eyed
bleary, blear-eyed
bored, world-weary
burned-out, burnt-out
careworn, drawn
careworn, haggard
careworn, raddled
careworn, worn
drooping, flagging
exhausted, dog-tired
exhausted, fagged
exhausted, fatigued
exhausted, spent
exhausted, washed-out
exhausted, worn-out
jaded, wearied
knackered, drained
unrefreshed, unrested
fresh, invigorated
fresh, refreshed
fresh, reinvigorated
untired, unwearied
untired, unweary
bearable, endurable
bearable, sufferable
bearable, supportable
tolerant, resistant
intolerable, unbearable
intolerable, unendurable
impossible, insufferable
impossible, unacceptable
impossible, unsufferable
rigid, strict
atonal, unkeyed
fine-toothed, fine-tooth
saber-toothed, sabertoothed
saber-toothed, sabre-toothed
edental, edentate
edental, edentulate
topmost, uppermost
topmost, upmost
bottommost, lowermost
bottommost, nethermost
lateral, sidelong
flat-topped, flat-top
bell-bottomed, bell-bottom
bell-bottomed, bellbottom
flat-bottomed, flat-bottom
round-bottomed, round-bottom
pantropical, pantropic
tropical, tropic
north-polar, Arctic
south-polar, Antarctic
cartilaginous, gristly
cartilaginous, rubbery
coriaceous, leathered
coriaceous, leatherlike
coriaceous, leathery
fibrous, sinewy
fibrous, stringy
fibrous, unchewable
hempen, fibrous
chewable, cuttable
crisp, crispy
flaky, flakey
tenderized, tenderised
tough, toughened
calloused, callous
calloused, thickened
enured, inured
enured, hardened
tender, untoughened
delicate, soft
hard-bitten, hard-boiled
hard-bitten, pugnacious
tough-minded, unsentimental
cyanogenetic, cyanogenic
deadly, venomous
deadly, virulent
poisonous, toxicant
nontoxic, atoxic
nonpoisonous, non-poisonous
tractable, manipulable
ductile, malleable
docile, teachable
tamable, tameable
balking, balky
refractory, stubborn
uncontrollable, unmanageable
traceable, trackable
half-track, half-tracked
untraveled, untravelled
trimmed, cut
untrimmed, uncut
annoyed, harassed
annoyed, harried
annoyed, pestered
annoyed, vexed
anxious, nervous
anxious, queasy
anxious, uneasy
anxious, unquiet
buffeted, storm-tossed
buffeted, tempest-tossed
buffeted, tempest-tost
buffeted, tempest-swept
care-laden, heavy-laden
disquieted, distressed
disquieted, disturbed
disquieted, upset
disquieted, worried
distressed, hard-pressed
hag-ridden, hagridden
hag-ridden, tormented
stressed, distressed
carefree, unworried
actual, genuine
actual, literal
actual, real
apodictic, apodeictic
specious, spurious
trustful, trusting
unsuspecting, unsuspicious
cynical, misanthropic
cynical, misanthropical
doubting, questioning
doubting, skeptical
doubting, sceptical
jealous, green-eyed
jealous, overjealous
leery, mistrustful
leery, suspicious
leery, untrusting
leery, wary
trustworthy, trusty
authentic, reliable
creditworthy, responsible
dependable, honest
dependable, reliable
dependable, true
sure, trusted
untrustworthy, untrusty
devious, shifty
fly-by-night, shady
slippery, tricky
inverted, upside-down
overturned, upset
overturned, upturned
rotated, revolved
wrong-side-out, inside-out
emblematic, exemplary
emblematic, typic
regular, veritable
atypical, untypical
underhand, underhanded
underhand, underarm
overhand, overhanded
overhand, overarm
opencast, opencut
belowground, underground
submarine, undersea
submerged, submersed
submerged, underwater
subterranean, subterraneous
submersible, submergible
nonsubmersible, nonsubmergible
liquid, swimming
teary, teary-eyed
teary, watery-eyed
sniffly, snuffling
sniffly, snuffly
tearless, dry-eyed
organized, organised
organized, unionized
organized, unionised
unorganized, unorganised
unorganized, nonunionized
unorganized, nonunionised
biparous, twinning
allied, confederate
allied, confederative
amalgamate, amalgamated
amalgamate, coalesced
amalgamate, consolidated
amalgamate, fused
coalescent, coalescing
conjugate, conjugated
conjugate, coupled
federate, federated
incorporate, incorporated
incorporate, integrated
incorporate, merged
incorporate, unified
one, unitary
unsegmented, nonsegmental
bicameral, two-chambered
bifurcate, biramous
bifurcate, branched
bifurcate, forked
bifurcate, fork-like
bifurcate, forficate
bifurcate, pronged
bifurcate, prongy
bilocular, biloculate
cloven, bisulcate
disconnected, disunited
disconnected, fragmented
disconnected, split
metameric, segmental
metameric, segmented
pronged, tined
sectional, sectioned
bivalve, bivalved
lamellibranch, pelecypod
lamellibranch, pelecypodous
acclivitous, rising
acclivitous, uphill
ascendant, ascendent
ascendant, ascensive
up, upward
declivitous, downhill
declivitous, downward-sloping
descendant, descendent
down, downward
dropping, falling
improving, up
ungulate, ungulated
ungulate, hoofed
ungulate, hooved
unguiculate, unguiculated
ahead, leading
dormie, dormy
heavenward, skyward
upstairs, upstair
downstairs, downstair
utilized, utilised
exploited, ill-used
exploited, put-upon
exploited, used
exploited, victimized
exploited, victimised
useful, utile
reclaimable, recyclable
reclaimable, reusable
useable, usable
futile, ineffectual
futile, otiose
futile, unavailing
unserviceable, unusable
unserviceable, unuseable
airy, impractical
airy, visionary
airy, Laputan
airy, windy
legal, sound
legal, effectual
legitimate, logical
reasoned, sound
reasoned, well-grounded
bad, uncollectible
fallacious, unsound
invalidated, nullified
null, void
sophistic, sophistical
invaluable, priceless
good-for-nothing, good-for-naught
good-for-nothing, meritless
good-for-nothing, no-account
good-for-nothing, no-count
good-for-nothing, no-good
good-for-nothing, sorry
negligible, paltry
negligible, trifling
otiose, pointless
otiose, purposeless
otiose, senseless
otiose, superfluous
otiose, wasted
rubbishy, trashy
changeable, uncertain
changeable, unsettled
changeless, constant
changeless, invariant
changeless, unvarying
hard-and-fast, strict
many-sided, multifaceted
many-sided, miscellaneous
many-sided, multifarious
varicolored, varicoloured
varicolored, variegated
varying, variable
versatile, various
unvaried, unvarying
aired, airy
airless, close
airless, stuffy
airless, unaired
unaerated, unoxygenated
invertebrate, spineless
unassailable, untouchable
ferocious, fierce
ferocious, furious
ferocious, savage
hot, raging
knockdown-dragout, knock-down-and-drag-out
ruffianly, tough
passive, peaceful
impeccant, innocent
impeccant, sinless
evil, vicious
flagitious, heinous
iniquitous, sinful
iniquitous, ungodly
irreclaimable, irredeemable
irreclaimable, unredeemable
irreclaimable, unreformable
nefarious, villainous
peccable, peccant
visible, seeable
ocular, visual
macroscopic, macroscopical
megascopic, gross
microscopic, microscopical
panoptic, panoptical
invisible, unseeable
concealed, hidden
viviparous, live-bearing
evaporable, vaporific
evaporable, vapourific
evaporable, vaporizable
evaporable, vapourisable
evaporable, volatilizable
evaporable, volatilisable
nonvolatile, nonvolatilizable
nonvolatile, nonvolatilisable
willful, wilful
uncoerced, unforced
uncoerced, willing
unpaid, volunteer
involuntary, nonvoluntary
involuntary, unvoluntary
driven, goaded
automatic, reflex
automatic, reflexive
assailable, undefendable
assailable, undefended
assailable, open
defenseless, defenceless
insecure, unsafe
airtight, air-tight
bombproof, shellproof
defendable, defensible
impregnable, inviolable
impregnable, secure
impregnable, strong
impregnable, unassailable
impregnable, unattackable
craved, desired
longed-for, wished-for
longed-for, yearned-for
sought, sought-after
cast-off, discarded
cast-off, throwaway
cast-off, thrown-away
friendless, outcast
outcaste, casteless
undesired, unsought
unwelcome, unwished
unwelcome, unwished-for
lukewarm, tepid
homoiothermic, homeothermic
homoiothermic, homothermic
poikilothermic, poikilothermous
poikilothermic, heterothermic
poikilothermic, ectothermic
wash-and-wear, drip-dry
accelerative, acceleratory
maximizing, maximising
profit-maximizing, profit-maximising
depreciating, depreciative
depreciating, depreciatory
dwindling, tapering
decrescendo, diminuendo
rallentando, ritardando
rallentando, ritenuto
rallentando, rit.
asymptomatic, symptomless
cured, healed
cured, recovered
ill, sick
afflicted, stricken
ailing, indisposed
ailing, peaked
ailing, poorly
ailing, sickly
ailing, unwell
ailing, seedy
airsick, carsick
airsick, seasick
bedfast, bedridden
bedfast, bedrid
bedfast, sick-abed
bilious, liverish
bilious, livery
convalescent, recovering
delirious, hallucinating
dizzy, giddy
dizzy, woozy
dizzy, vertiginous
faint, light
faint, swooning
faint, light-headed
faint, lightheaded
feverish, feverous
nauseated, nauseous
nauseated, queasy
nauseated, sick
nauseated, sickish
paralytic, paralyzed
rickety, rachitic
tubercular, tuberculous
bedewed, dewy
boggy, marshy
boggy, miry
boggy, mucky
boggy, muddy
boggy, quaggy
boggy, sloppy
boggy, sloughy
boggy, soggy
boggy, squashy
boggy, swampy
boggy, waterlogged
clammy, dank
damp, dampish
damp, moist
sodden, soppy
drippy, drizzly
muggy, steamy
muggy, sticky
reeking, watery
showery, rainy
steaming, steamy
adust, baked
adust, parched
adust, scorched
adust, sunbaked
arid, waterless
desiccated, dried-out
dried-up, sere
dried-up, sear
dried-up, shriveled
dried-up, shrivelled
dried-up, withered
wet, lactating
hydrous, hydrated
wage-earning, working-class
alimentary, alimental
alimentary, nourishing
alimentary, nutrient
alimentary, nutritious
alimentary, nutritive
